APX,APEX MINING,05/21/2020,0.95,0.96,0.91,0.92
AR,ABRA MINING,05/21/2020,0.001,0.001,0.001,0.001
AT,ATLAS MINING,05/21/2020,1.8,1.8,1.8,1.8
BC,BENGUET A,05/21/2020,1.14,1.14,1.12,1.12
CPM,CENTURY PEAK,05/21/2020,2.7,2.72,2.7,2.72
DIZ,DIZON MINES,05/21/2020,7,7.12,7,7.12
FNI,FERRONICKEL,05/21/2020,0.78,0.81,0.78,0.81
GEO,GEOGRACE,05/21/2020,0.201,0.207,0.201,0.201
LC,LEPANTO A,05/21/2020,0.08,0.08,0.08,0.08
LCB,LEPANTO B,05/21/2020,0.079,0.079,0.079,0.079
NI,NIHAO,05/21/2020,1,1.03,1,1
NIKL,NICKEL ASIA,05/21/2020,1.62,1.64,1.57,1.58
PX,PX MINING,05/21/2020,2.46,2.46,2.27,2.35
SCC,SEMIRARA MINING,05/21/2020,11.56,11.56,11.18,11.2
ACEX,ACE ENEXOR,05/21/2020,6.74,6.74,6.55,6.7
OPMB,ORNTL PETROL B,05/21/2020,0.0085,0.0095,0.0085,0.0095
OV,PHILODRILL,05/21/2020,0.008,0.008,0.008,0.008
PXP,PXP ENERGY,05/21/2020,5.2,5.33,5.06,5.13
IDC,ITALPINAS,05/21/2020,1.9,1.94,1.89,1.89
KPPI,KEPWEALTH,05/21/2020,6.11,6.3,6,6.3
MFIN,MAKATI FINANCE,05/21/2020,1.58,1.58,1.58,1.58
X,XURPAS,05/21/2020,0.59,0.6,0.57,0.6
FMETF,FIRST METRO ETF,05/21/2020,84.6,85.5,84.6,85.25
^PSEi,,05/21/2020,5582.27,5613.9,5557.08,5604.49
^ALLSHARES,,05/21/2020,3369.59,3379.26,3357.74,3374.96
APB2R,AC PREF B2R,05/21/2020,500,500,500,500
DDPR,DD PREF,05/21/2020,99.9,99.9,99.9,99.9
GTPPB,GTCAP PREF B,05/21/2020,998,998,998,998
PNX4,PNX PREF 4,05/21/2020,999,999,998,999
PRF3A,PCOR PREF 3A,05/21/2020,1022,1023,1022,1023
PRF3B,PCOR PREF 3B,05/21/2020,1023,1023,1023,1023
SMC2D,SMC PREF 2D,05/21/2020,75,75.1,75,75.1
SMC2G,SMC PREF 2G,05/21/2020,75.95,75.95,75.95,75.95
SMC2I,SMC PREF 2I,05/21/2020,76.5,76.5,76.5,76.5
ABSP,ABS HLDG PDR,05/21/2020,15,15,14.8,14.8
GMAP,GMA HLDG PDR,05/21/2020,4.68,4.8,4.68,4.8
LRW,LR WARRANT,05/21/2020,0.71,0.71,0.7,0.7
DMPA1,USD DMPL A1,05/21/2020,10,10,10,10
